,순위,주소(동명 포함),X좌표(경도),Y좌표(위도)
0,1,경기도 안양시 만안구 석수동,126.910879,37.418965
4,2,경기도 안양시 만안구 안양동,126.9233110708,37.4060275018
16,3,경기도 안양시 동안구 비산동,126.941654,37.393093
2,4,경기도 안양시 만안구 석수동,126.9103333,37.41963333
3,5,경기도 안양시 만안구 석수동,126.912961,37.416596
5,6,경기도 안양시 만안구 안양동,126.919248,37.412012
6,7,경기도 안양시 만안구 안양동,126.918447,37.414212
22,8,경기도 안양시 동안구 호계동,126.9580167,37.36616667
1,9,경기도 안양시 만안구 석수동,126.9092833,37.41991667
12,10,경기도 안양시 동안구 비산동,126.9292667,37.40111667
13,11,경기도 안양시 동안구 비산동,126.933691,37.397557
14,12,경기도 안양시 동안구 비산동,126.9411667,37.39421667
15,13,경기도 안양시 동안구 비산동,126.9450333,37.39255
19,14,경기도 안양시 동안구 비산동,126.9450667,37.39183333
18,15,경기도 안양시 동안구 비산동,126.937607,37.396129
17,16,경기도 안양시 동안구 비산동,126.940666,37.395245
20,17,경기도 안양시 동안구 비산동,126.9454833,37.3908
9,18,경기도 안양시 만안구 안양동,126.927953,37.402301
8,19,경기도 안양시 만안구 안양동,126.92815,37.4014
7,20,경기도 안양시 만안구 안양동,126.92275,37.40713333
21,21,경기도 안양시 동안구 비산동,126.93195,37.39938333
23,22,경기도 안양시 동안구 호계동,126.951,37.38533333
28,23,경기도 안양시 동안구 평촌동,126.9718963,37.3891112
24,24,경기도 안양시 동안구 호계동,126.948476,37.387682
25,25,경기도 안양시 동안구 호계동,126.95345,37.38196667
26,26,경기도 안양시 동안구 호계동,126.9545667,37.37871667
27,27,경기도 안양시 동안구 호계동,126.9558333,37.37758333
10,28,경기도 안양시 만안구 안양동,126.918,37.41501667
29,29,경기도 안양시 동안구 호계동,126.9513,37.3859
34,30,경기도 안양시 동안구 호계동,126.9572833,37.3721134
37,31,경기도 안양시 동안구 호계동,126.9553833,37.37718333
36,32,경기도 안양시 동안구 호계동,126.9527833,37.38201667
35,33,경기도 안양시 동안구 평촌동,126.9746172735,37.3904454283
11,34,경기도 안양시 만안구 안양동,126.9179167,37.41558333
33,35,경기도 안양시 동안구 호계동,126.9541,37.38075
32,36,경기도 안양시 동안구 호계동,126.950032,37.385828
31,37,경기도 안양시 동안구 호계동,126.953756,37.378645
30,38,경기도 안양시 동안구 호계동,126.95765,37.37406667
38,39,경기도 안양시 동안구 호계동,126.9559667,37.36955
39,40,경기도 안양시 동안구 평촌동,126.9634333,37.3875
